task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
46	b9/e31cf2	924349	RNASEQ:SAMTOOLS_SORT (ERR12638555)	COMPLETED	0	2025-04-29 14:37:21.934	1m 25s	1m 24s	63.4%	923.6 MB	1023.6 MB	867.2 MB	612.3 MB
47	96/c8bb24	929818	RNASEQ:SAMTOOLS_SORT (ERR12638556)	COMPLETED	0	2025-04-29 14:37:57.261	1m 31s	1m 31s	65.6%	923 MB	1023.5 MB	940.9 MB	646.1 MB
49	d0/a64794	932789	RNASEQ:SAMTOOLS_SORT (ERR12638548)	COMPLETED	0	2025-04-29 14:38:12.993	1m 34s	1m 33s	63.9%	923.2 MB	1023.5 MB	973.6 MB	672.2 MB
35	9d/2f6e2e	885701	RNASEQ:HTSEQ_COUNT (ERR12638551)	COMPLETED	0	2025-04-29 14:32:37.727	7m 44s	7m 43s	70.7%	52.9 MB	4.9 GB	233.1 MB	48.2 KB
31	6d/ec34eb	792775	RNASEQ:BOWTIE2_ALIGN (ERR12638554)	COMPLETED	0	2025-04-29 14:24:36.514	19m 53s	19m 51s	134.1%	38.8 MB	429 MB	777.7 MB	5.4 GB
39	cb/a61c89	905661	RNASEQ:HTSEQ_COUNT (ERR12638553)	COMPLETED	0	2025-04-29 14:35:16.037	9m 55s	9m 55s	74.6%	53.1 MB	4.9 GB	316.3 MB	50.1 KB
53	5b/161726	980782	RNASEQ:SAMTOOLS_VIEW (ERR12638554)	COMPLETED	0	2025-04-29 14:44:29.092	2m 13s	2m 12s	59.6%	9.8 MB	228.1 MB	5.4 GB	853.1 MB
45	56/dcb58f	923344	RNASEQ:HTSEQ_COUNT (ERR12638550)	COMPLETED	0	2025-04-29 14:37:16.049	9m 28s	9m 27s	67.6%	53.1 MB	4.9 GB	292.8 MB	51.5 KB
48	61/7f66e3	929910	RNASEQ:HTSEQ_COUNT (ERR12638552)	COMPLETED	0	2025-04-29 14:37:57.629	10m 15s	10m 14s	70.7%	53.1 MB	4.9 GB	299.5 MB	49.6 KB
54	0b/e44a64	997412	RNASEQ:SAMTOOLS_SORT (ERR12638554)	COMPLETED	0	2025-04-29 14:46:41.945	2m 5s	2m 5s	68.8%	923 MB	1023.5 MB	1.4 GB	989 MB
52	26/93576c	946537	RNASEQ:HTSEQ_COUNT (ERR12638548)	COMPLETED	0	2025-04-29 14:39:47.057	9m 48s	9m 48s	75.7%	53.1 MB	4.9 GB	331.6 MB	52.3 KB
50	6d/ec3685	937570	RNASEQ:HTSEQ_COUNT (ERR12638555)	COMPLETED	0	2025-04-29 14:38:47.194	10m 54s	10m 53s	68.7%	53 MB	4.9 GB	306.2 MB	49.6 KB
51	55/f98b62	943495	RNASEQ:HTSEQ_COUNT (ERR12638556)	COMPLETED	0	2025-04-29 14:39:28.349	11m 43s	11m 42s	71.3%	52.9 MB	4.9 GB	337.4 MB	50.9 KB
55	b9/f6e6cc	1012669	RNASEQ:HTSEQ_COUNT (ERR12638554)	COMPLETED	0	2025-04-29 14:48:47.402	13m 2s	13m 1s	88.8%	52.9 MB	4.9 GB	458.3 MB	53.5 KB
56	c6/9663f3	1089717	RNASEQ:MULTIQC	COMPLETED	0	2025-04-29 15:01:49.151	17.3s	17.1s	31.6%	125.6 MB	1.5 GB	70.8 MB	19.1 MB
