task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
35	da/ee4f22	1427246	RNASEQ:SAMTOOLS_VIEW (ERR12638552)	COMPLETED	0	2025-04-29 15:22:49.012	1m 35s	1m 35s	50.4%	9.8 MB	228.6 MB	3.4 GB	538.2 MB
36	f9/da4cab	1432234	RNASEQ:SAMTOOLS_VIEW (ERR12638550)	COMPLETED	0	2025-04-29 15:23:12.275	1m 24s	1m 23s	54.3%	9.8 MB	228.1 MB	3 GB	547.2 MB
30	94/acd743	1286769	RNASEQ:BOWTIE2_ALIGN (ERR12638548)	COMPLETED	0	2025-04-29 15:13:47.304	11m 7s	11m 7s	150.6%	38.7 MB	365 MB	567.7 MB	3.4 GB
37	83/6346b8	1437441	RNASEQ:SAMTOOLS_VIEW (ERR12638555)	COMPLETED	0	2025-04-29 15:23:34.844	1m 39s	1m 38s	51.3%	9.9 MB	228.1 MB	3.5 GB	547.5 MB
29	f6/c6b5a6	1275263	RNASEQ:BOWTIE2_ALIGN (ERR12638556)	COMPLETED	0	2025-04-29 15:13:11.161	12m 6s	12m 5s	151.0%	38.8 MB	365.2 MB	568.2 MB	3.8 GB
39	21/9abb80	1446713	RNASEQ:SAMTOOLS_SORT (ERR12638552)	COMPLETED	0	2025-04-29 15:24:24.514	1m 7s	1m 7s	84.2%	923.1 MB	1023.5 MB	858.7 MB	606.3 MB
40	78/fdd5f2	1449440	RNASEQ:SAMTOOLS_SORT (ERR12638550)	COMPLETED	0	2025-04-29 15:24:36.348	60s	58.8s	87.8%	923.2 MB	1023.5 MB	817 MB	549.1 MB
44	ac/ab0723	1460856	RNASEQ:FEATURECOUNTS (ERR12638552)	COMPLETED	0	2025-04-29 15:25:31.904	8.5s	8s	97.1%	21.4 MB	207.4 MB	291.1 MB	177.7 KB
45	b3/bb3cd4	1462060	RNASEQ:FEATURECOUNTS (ERR12638550)	COMPLETED	0	2025-04-29 15:25:36.508	8.1s	7.6s	99.4%	21.5 MB	207.4 MB	284.5 MB	180.2 KB
38	6c/1f2420	1443796	RNASEQ:SAMTOOLS_VIEW (ERR12638553)	COMPLETED	0	2025-04-29 15:24:08.766	1m 40s	1m 39s	52.5%	9.7 MB	228.1 MB	3.5 GB	576.1 MB
42	9b/8b2022	1456457	RNASEQ:SAMTOOLS_SORT (ERR12638555)	COMPLETED	0	2025-04-29 15:25:13.436	1m 9s	1m 8s	85.8%	923.4 MB	1023.6 MB	867.2 MB	612.3 MB
47	59/088e05	1469304	RNASEQ:FEATURECOUNTS (ERR12638555)	COMPLETED	0	2025-04-29 15:26:21.982	9.3s	8.8s	91.2%	21.5 MB	207.4 MB	297.9 MB	177.5 KB
41	8e/95a16d	1452987	RNASEQ:SAMTOOLS_VIEW (ERR12638548)	COMPLETED	0	2025-04-29 15:24:54.589	1m 41s	1m 40s	51.3%	9.7 MB	228.6 MB	3.4 GB	619.5 MB
46	67/f03f11	1464430	RNASEQ:SAMTOOLS_SORT (ERR12638553)	COMPLETED	0	2025-04-29 15:25:49.040	1m 2s	1m 2s	91.7%	923.1 MB	1023.5 MB	899.9 MB	626.5 MB
49	e7/c3221b	1474546	RNASEQ:FEATURECOUNTS (ERR12638553)	COMPLETED	0	2025-04-29 15:26:51.176	9.3s	8.8s	93.4%	21.5 MB	207.4 MB	307.9 MB	178 KB
43	3e/9f440e	1457124	RNASEQ:SAMTOOLS_VIEW (ERR12638556)	COMPLETED	0	2025-04-29 15:25:17.126	1m 45s	1m 45s	52.4%	9.8 MB	228.1 MB	3.8 GB	618.7 MB
48	08/4dec43	1472327	RNASEQ:SAMTOOLS_SORT (ERR12638548)	COMPLETED	0	2025-04-29 15:26:35.221	1m 11s	1m 11s	88.6%	923.2 MB	1023.5 MB	973.6 MB	672.2 MB
51	cb/24a04b	1482851	RNASEQ:FEATURECOUNTS (ERR12638548)	COMPLETED	0	2025-04-29 15:27:46.426	9.1s	8.7s	99.9%	21.5 MB	207.4 MB	323.3 MB	180.4 KB
50	06/3e55b1	1476457	RNASEQ:SAMTOOLS_SORT (ERR12638556)	COMPLETED	0	2025-04-29 15:27:02.585	1m 10s	1m 9s	87.9%	923.1 MB	1023.5 MB	940.9 MB	646.1 MB
52	5b/a4f247	1486521	RNASEQ:FEATURECOUNTS (ERR12638556)	COMPLETED	0	2025-04-29 15:28:12.593	9.9s	9.5s	94.0%	21.5 MB	207.4 MB	329.1 MB	178.3 KB
31	c5/0a336b	1321593	RNASEQ:BOWTIE2_ALIGN (ERR12638554)	COMPLETED	0	2025-04-29 15:15:46.460	14m 25s	14m 24s	166.1%	38.9 MB	365.2 MB	777.7 MB	5.4 GB
53	f0/3607ab	1499514	RNASEQ:SAMTOOLS_VIEW (ERR12638554)	COMPLETED	0	2025-04-29 15:30:11.293	2m 27s	2m 27s	53.8%	9.7 MB	228.1 MB	5.4 GB	853.1 MB
54	29/1e8d37	1516316	RNASEQ:SAMTOOLS_SORT (ERR12638554)	COMPLETED	0	2025-04-29 15:32:38.540	1m 29s	1m 29s	95.5%	923.3 MB	1023.5 MB	1.4 GB	989 MB
55	d2/65e1ce	1526711	RNASEQ:FEATURECOUNTS (ERR12638554)	COMPLETED	0	2025-04-29 15:34:07.496	13.8s	13.4s	96.4%	21.5 MB	207.4 MB	450 MB	178.6 KB
56	dc/5c0bcc	1528556	RNASEQ:MULTIQC	COMPLETED	0	2025-04-29 15:34:21.918	9.9s	9.8s	60.7%	131.1 MB	1.6 GB	69.8 MB	19.1 MB
